woy,Hemisphere,gender,within_variation,sd,se,ci
25,Southern,F,0.519697285,0.095536488,0.000329469,0.000645758
25,Southern,M,0.511012785,0.095452674,0.000318501,0.00062426
26,Northern,F,0.49184553,0.101520833,0.000231584,0.0004539
26,Northern,M,0.493685794,0.103320881,0.00023318,0.000457027
26,Southern,F,0.520536378,0.095194899,0.000325366,0.000637714
26,Southern,M,0.512102572,0.094837384,0.000313189,0.000613848
27,Northern,F,0.491070391,0.101388097,0.00023033,0.000451441
27,Northern,M,0.493158815,0.102918398,0.000231179,0.000453105
27,Southern,F,0.526239329,0.096538758,0.000328433,0.000643727
27,Southern,M,0.516751699,0.095152917,0.000310899,0.000609359
28,Northern,F,0.492028097,0.102860173,0.000233783,0.000458209
28,Northern,M,0.494310608,0.103137275,0.000231452,0.00045364
28,Southern,F,0.532284387,0.123677535,0.000498708,0.000977469
28,Southern,M,0.52261336,0.125095279,0.000474472,0.000929965
29,Northern,F,0.49160943,0.102375374,0.000231315,0.000453372
29,Northern,M,0.493671442,0.103424949,0.000231067,0.000452885
29,Southern,F,0.525443944,0.120089804,0.000712828,0.001397176
29,Southern,M,0.514794261,0.121284997,0.00068991,0.001352253
30,Northern,F,0.492519415,0.101756745,0.000229436,0.00044969
30,Northern,M,0.494284263,0.102674017,0.000228476,0.000447808
30,Southern,F,0.52590878,0.119651107,0.000697203,0.001366549
30,Southern,M,0.515240257,0.119754971,0.000674368,0.001321788
31,Northern,F,0.492367195,0.101249113,0.000227078,0.000445068
31,Northern,M,0.493783208,0.102188999,0.000226129,0.000443208
31,Southern,F,0.527764292,0.118382164,0.000682888,0.00133849
31,Southern,M,0.515309909,0.119048618,0.000662312,0.001298156
32,Northern,F,0.491807999,0.101503509,0.000226186,0.000443319
32,Northern,M,0.49453174,0.101624027,0.000223531,0.000438115
32,Southern,F,0.525535704,0.118484652,0.000674943,0.001322915
32,Southern,M,0.516061731,0.12008502,0.000662645,0.001298807
33,Northern,F,0.490607558,0.101331823,0.000225171,0.000441329
33,Northern,M,0.493521253,0.102915282,0.000226471,0.000443879
33,Southern,F,0.530708629,0.121383579,0.000693123,0.001358549
33,Southern,M,0.5227079,0.120464296,0.000664101,0.001301662
34,Northern,F,0.489946738,0.100825512,0.000222364,0.000435829
34,Northern,M,0.493009942,0.102317776,0.000223472,0.000437999
34,Southern,F,0.521330066,0.118162484,0.000667201,0.001307741
34,Southern,M,0.513190627,0.117909632,0.000646909,0.001267964
35,Northern,F,0.488474156,0.100000687,0.000217675,0.000426638
35,Northern,M,0.491997299,0.101457501,0.000218617,0.000428483
35,Southern,F,0.522280265,0.11510297,0.000643475,0.001261236
35,Southern,M,0.513718291,0.117693289,0.000638808,0.001252085
