hours,dow,within_variation,sd,se,ci
15,Fri,0.500319134,0.1221237,0.000146327,0.000286796
15,Sat,0.510870763,0.123725339,0.000147511,0.000289116
15,Sun,0.501113454,0.127326487,0.000155779,0.000305321
16,Mon,0.489242635,0.124239369,0.000151513,0.00029696
16,Tue,0.489937081,0.123703469,0.000150859,0.000295679
16,Wed,0.491182232,0.122866001,0.000148909,0.000291856
16,Thu,0.495296399,0.122901188,0.000148282,0.000290628
16,Fri,0.50116717,0.120689959,0.000143471,0.000281198
16,Sat,0.511089387,0.124144683,0.000148147,0.000290362
16,Sun,0.501084168,0.127636974,0.000156416,0.00030657
17,Mon,0.490378437,0.123530694,0.000149244,0.000292514
17,Tue,0.490545727,0.12298524,0.000148391,0.000290841
17,Wed,0.492027624,0.122476574,0.000147058,0.00028823
17,Thu,0.495782802,0.122587512,0.000146558,0.000287248
17,Fri,0.502094005,0.12074282,0.000142884,0.000280047
17,Sat,0.51182592,0.12439355,0.000148445,0.000290947
17,Sun,0.500431204,0.127977617,0.000156948,0.000307612
18,Mon,0.490606471,0.124501269,0.000150413,0.000294804
18,Tue,0.490983941,0.123863862,0.000149332,0.000292686
18,Wed,0.49239411,0.123493161,0.000148381,0.000290822
18,Thu,0.495985852,0.123157896,0.000147366,0.000288832
18,Fri,0.502749842,0.12225175,0.000145234,0.000284654
18,Sat,0.512542734,0.125398688,0.000150194,0.000294376
18,Sun,0.49997776,0.128778861,0.0001586,0.000310852
19,Mon,0.490602731,0.126508254,0.000154201,0.000302229
19,Tue,0.490952395,0.125782447,0.000152805,0.000299493
19,Wed,0.492244751,0.125585378,0.000152243,0.000298391
19,Thu,0.496193941,0.125412537,0.000151274,0.000296491
19,Fri,0.503419728,0.124834898,0.000149791,0.000293586
19,Sat,0.513133704,0.126961354,0.000153367,0.000300595
19,Sun,0.49920639,0.130341805,0.000161898,0.000317315
20,Mon,0.489334338,0.129485297,0.000160483,0.000314541
20,Tue,0.489784352,0.128675742,0.00015888,0.000311399
