hours,age_group,within_variation,sd,se,ci
21,40-49,0.503346246,0.1433881,0.000255274,0.000500329
21,Over 50,0.492894918,0.13754421,0.00014466,0.00028353
22,10-19,0.489944607,0.123362955,0.000130988,0.000256732
22,20-29,0.49180887,0.13606447,0.00011776,0.000230806
22,30-39,0.495191937,0.148030264,0.000176431,0.000345798
22,40-49,0.498245183,0.149467599,0.000282589,0.000553867
22,Over 50,0.489779271,0.142278039,0.000157235,0.000308176
23,10-19,0.486940565,0.130224094,0.000150277,0.000294538
23,20-29,0.487578827,0.142310803,0.00013034,0.000255463
23,30-39,0.490513544,0.154261701,0.000198764,0.000389571
23,40-49,0.492867972,0.156345365,0.000323894,0.000634824
23,Over 50,0.485812871,0.148240855,0.000178459,0.000349773
