hours,region_5,within_variation,sd,se,ci
21,Oceania,0.477067648,0.135042646,0.000507342,0.000994389
22,Asia,0.449060487,0.128540415,0.000150665,0.000295299
22,Europe,0.484750417,0.139660972,0.00013054,0.000255855
22,Latin America,0.539349814,0.143167945,0.000132598,0.000259888
22,North America,0.476782454,0.135494818,0.000140814,0.000275991
22,Oceania,0.474021345,0.142280186,0.000576695,0.001130324
23,Asia,0.444143372,0.13248747,0.000163125,0.00031972
23,Europe,0.481301,0.147022507,0.000149856,0.000293713
23,Latin America,0.535179543,0.1498921,0.000148477,0.00029101
23,North America,0.472814788,0.14205193,0.000160875,0.000315311
23,Oceania,0.470304822,0.149679912,0.000684534,0.001341696
