hours,age_group,within_variation,sd,se,ci
21,40-49,0.745719755,0.845789182,0.001505757,0.002951241
21,Over 50,0.486292216,0.826666611,0.000869436,0.001704066
22,10-19,1.134181999,0.638714765,0.000678193,0.001329236
22,20-29,0.935841123,0.775943808,0.00067156,0.001316235
22,30-39,0.762820672,0.892016014,0.001063154,0.002083747
22,40-49,0.6956211,0.904347414,0.001709795,0.003351151
22,Over 50,0.452788861,0.865454155,0.000956437,0.001874584
23,10-19,1.101678785,0.696269621,0.000803486,0.001574806
23,20-29,0.889995502,0.840336876,0.000769653,0.001508493
23,30-39,0.714012379,0.95665476,0.001232636,0.002415926
23,40-49,0.642348674,0.973580676,0.002016927,0.003953126
23,Over 50,0.415116427,0.915126146,0.001101668,0.002159233
