hours,dow,within_variation,sd,se,ci
15,Fri,0.921517999,0.68021846,0.000815028,0.001597428
15,Sat,0.931169553,0.690201275,0.000822888,0.001612833
15,Sun,0.839807847,0.719494673,0.000880273,0.001725306
16,Mon,0.841671269,0.699683063,0.00085328,0.001672402
16,Tue,0.854005743,0.694013039,0.000846366,0.001658849
16,Wed,0.864259868,0.689738536,0.000835936,0.001638408
16,Thu,0.880724921,0.688725033,0.000830956,0.001628648
16,Fri,0.929014356,0.672932012,0.000799951,0.001567878
16,Sat,0.930415456,0.692244866,0.000826082,0.001619094
16,Sun,0.840859316,0.720174454,0.000882557,0.001729783
17,Mon,0.849701393,0.694700228,0.000839305,0.001645011
17,Tue,0.860132536,0.688190517,0.000830352,0.001627463
17,Wed,0.871907226,0.686468857,0.000824247,0.001615498
17,Thu,0.888423694,0.683432469,0.000817067,0.001601425
17,Fri,0.937645706,0.668480824,0.000791062,0.001550455
17,Sat,0.935147516,0.69160622,0.000825327,0.001617615
17,Sun,0.836884809,0.722346778,0.000885862,0.001736262
18,Mon,0.851239471,0.700425769,0.0008462,0.001658525
18,Tue,0.863785048,0.6915785,0.000833778,0.001634178
18,Wed,0.873872802,0.691025912,0.000830291,0.001627344
18,Thu,0.891961047,0.687347268,0.000822451,0.001611976
18,Fri,0.939565643,0.674010541,0.00080072,0.001569384
18,Sat,0.936938589,0.695764607,0.000833341,0.001633322
18,Sun,0.834048374,0.723879042,0.000891509,0.001747329
19,Mon,0.847415517,0.711119907,0.000866786,0.001698872
19,Tue,0.860006911,0.706041608,0.000857726,0.001681114
19,Wed,0.868506071,0.703993789,0.000853427,0.001672689
19,Thu,0.888558344,0.698995877,0.000843135,0.001652517
19,Fri,0.939394122,0.686083757,0.000823241,0.001613525
19,Sat,0.937335276,0.701664465,0.0008476,0.001661269
19,Sun,0.824870868,0.734765109,0.000912655,0.001788773
20,Mon,0.830969074,0.734232469,0.000910001,0.001783573
20,Tue,0.844406063,0.724194859,0.000894185,0.001752574
20,Wed,0.854505656,0.726260511,0.000894326,0.00175285
20,Thu,0.874660449,0.717616833,0.00087837,0.001721576
20,Fri,0.929136235,0.706796086,0.000861228,0.001687979
20,Sat,0.931708549,0.720794639,0.000882977,0.001730607
20,Sun,0.810356303,0.755569532,0.000953019,0.001867887
21,Mon,0.800934347,0.766364232,0.000977548,0.001915962
21,Tue,0.815598962,0.759816933,0.000964476,0.001890342
21,Wed,0.826663255,0.756954746,0.000956726,0.001875152
21,Thu,0.850457468,0.748332513,0.000938971,0.001840354
21,Fri,0.914849452,0.728955311,0.00090563,0.001775005
21,Sat,0.922660373,0.738952279,0.000921996,0.001807083
21,Sun,0.783946568,0.786193085,0.001020432,0.002000014
22,Mon,0.757986069,0.818611491,0.001099665,0.002155308
22,Tue,0.771925058,0.811175102,0.001082328,0.002121329
22,Wed,0.788250503,0.806211411,0.001069759,0.002096693
22,Thu,0.812392148,0.794335244,0.001042492,0.002043251
22,Fri,0.891571164,0.761928728,0.000975984,0.001912898
22,Sat,0.907539739,0.766106427,0.000980228,0.001921216
22,Sun,0.744059833,0.832565136,0.00113266,0.002219978
23,Mon,0.702640333,0.891441318,0.001311635,0.002570765
23,Tue,0.71869324,0.882281455,0.00128701,0.002522499
23,Wed,0.737141872,0.875838552,0.00126594,0.002481204
23,Thu,0.765835288,0.859799793,0.00122186,0.002394808
23,Fri,0.860253193,0.803863614,0.001088081,0.002132604
23,Sat,0.884680658,0.802325443,0.001073611,0.002104244
23,Sun,0.694140185,0.898705578,0.001326733,0.002600356
