"from_dst_start","within_variation"
-86,0.865394657422582
-92,1.00763072847492
-72,0.849881186535564
-135,1.27338399368763
-93,1.08833424677005
-85,0.821457416935238
-91,0.997318752943567
-71,0.857334702907949
-134,1.16683180774086
-84,0.781545098804642
-90,0.983361789267521
-70,0.802341758369784
-133,1.09095518963889
-83,0.786893906708896
-89,0.969320590109534
-69,0.802934988319447
-132,1.05435151647298
-82,0.796760069483404
-88,0.968836080223691
-68,0.812471608315498
-131,1.10011467001187
-81,0.794037656181539
-87,0.97746910118191
-67,0.817442773751156
-130,1.08142023889513
-80,0.804217235550107
-66,0.828049187777495
-129,1.1010036961858
-79,0.834746319520286
-65,0.8555852285628
-128,1.10422621370018
-78,0.843553211734109
-64,0.865437039151357
-127,1.17890020743839
-77,0.788708714478477
-63,0.812628840828282
-126,1.11732796286318
-76,0.813952740111236
-62,0.816527704031423
-125,1.11670593690812
-75,0.816955833358732
-61,0.820205679472673
-124,1.11370027213828
-74,0.808399010006029
-60,0.822629202198598
-123,1.10741302092952
-73,0.817650928273414
-59,0.829608046994661
-122,1.0920016609084
-58,0.863522637931451
-121,1.11786680438238
-57,0.86693876728899
-120,1.20502524926861
-56,0.819078322266831
-119,1.14981281323307
-55,0.818283890520708
-118,1.11951330816034
-54,0.819302059961318
-117,1.13561770817773
-53,0.827193825126919
-116,1.16117389979193
-52,0.842027592933658
-115,1.08031386488381
-51,0.85961059424332
-114,1.17682610315966
-50,0.864859608932724
-113,1.20008087892375
-49,0.819019682454103
-112,1.13438964755846
-48,0.821913040859443
-111,1.08927715990894
-47,0.823640328798246
-110,1.11740927606568
-46,0.823483680106201
-109,1.06058087763963
-45,0.827931122050455
-108,1.1231988321191
-44,0.86270988273128
-107,1.14037978879179
-43,0.86925521302603
-106,1.18365763086894
-42,0.813351713253178
-105,1.16454110974714
-41,0.819639059494317
-104,1.12564969714689
-40,0.823567861499216
-103,1.12040331774042
-39,0.826864478233762
-102,1.10562617739634
-38,0.837735020654653
-101,1.09627563100664
-37,0.864778957507603
-100,1.16152522289278
-36,0.870727461005028
-99,1.17614933811389
-35,0.830607046931571
-98,1.14670088972368
-34,0.820712855045309
-97,1.08457714035728
-33,0.823368005674726
-96,1.12305948476908
-32,0.831258992382632
-95,1.10578240166456
-31,0.832990755499731
-94,1.12418750299968
-30,0.866803958879225
-29,0.866619698204157
-28,0.818124667717864
-27,0.811521437593338
-26,0.82484226492706
-25,0.818644870093459
-24,0.828937494046485
-23,0.863490031796224
-22,0.87465481682371
-21,0.819577650881191
-20,0.824515539181419
-19,0.824988671451433
-18,0.830928647141781
-17,0.841830047723466
-16,0.874012625000274
-15,0.888168928592848
-14,0.833101805594517
-13,0.82642073334157
-12,0.829476731165782
-11,0.837753725052892
-10,0.849289250353031
-9,0.864251528389824
-8,0.870365330664094
-7,0.823775751406444
-6,0.833625157370329
-5,0.841896586464488
-4,0.843542228930235
-3,0.851986415447928
