woy,Hemisphere,age_group,within_variation,sd,se,ci
0,Northern,10-19,1.09059476126328,0.514296945243085,0.00157391468842556,0.00308485107351256
0,Northern,20-29,0.863147600262789,0.646256221296087,0.00168118125600501,0.00329508170338024
0,Northern,30-39,0.683120502866894,0.719770599106895,0.00231594381821187,0.00453922335528262
0,Northern,40-49,0.598869752451168,0.74233020087623,0.00352803235077166,0.00691500539927164
0,Northern,Over 50,0.332916782055536,0.748908938191236,0.00206721656200055,0.00405170737532512
0,Southern,10-19,1.20988153476754,0.538562829527655,0.00421099328790696,0.00825400598956036
0,Southern,20-29,1.03301438796026,0.630354645477356,0.00324843089124714,0.00636701221669731
0,Southern,30-39,0.940443742143033,0.703389906811485,0.00495099529285043,0.00970435442644097
0,Southern,40-49,0.879832251989187,0.742370722927824,0.00924502993582643,0.018123328186806
0,Southern,Over 50,0.57037131985017,0.762071935973433,0.00608102793174582,0.0119195144145612
1,Northern,10-19,1.139257796767,0.498475934967032,0.00145852366388889,0.00285868347451409
1,Northern,20-29,0.947314718427471,0.614125631583955,0.00152095652330397,0.00298104213898638
1,Northern,30-39,0.803431198196826,0.684986363538956,0.00211990850519561,0.00415499248896271
1,Northern,40-49,0.745176090386498,0.688118384105256,0.0031470181463004,0.00616819838035599
1,Northern,Over 50,0.461859935277177,0.693632868288757,0.00184754082193837,0.00362114456620504
1,Southern,10-19,1.21361996779716,0.514174306943449,0.00382087770110507,0.00748928327737022
1,Southern,20-29,1.0365259353999,0.591316285162242,0.00291274674308541,0.00570904638274607
1,Southern,30-39,0.951460077070799,0.653063722350597,0.00433596899045631,0.00849879653469091
1,Southern,40-49,0.899139944946292,0.671541765866649,0.00780545973938869,0.0153009222885161
1,Southern,Over 50,0.581252845976572,0.699687328514676,0.00518742521909203,0.0101678430962247
2,Northern,10-19,1.17243921912608,0.643947545121404,0.00325824976367301,0.00638625008717021
2,Northern,20-29,0.938342618212048,0.718885944166633,0.00238113510623143,0.00466700102416334
2,Northern,30-39,0.787952665548852,0.789314477438564,0.0034035457635159,0.00667097724940073
2,Northern,40-49,0.726282181013427,0.792328608438819,0.00520840674393244,0.0102088235958249
2,Northern,Over 50,0.456925362023358,0.812147654441878,0.00302551924304096,0.00593000836189549
2,Southern,10-19,1.22674468892169,0.503040789484085,0.00372347096438459,0.00729835299725775
2,Southern,20-29,1.04844140441869,0.597129351060499,0.00294987516983659,0.00578181988145021
2,Southern,30-39,0.963332967086135,0.643167908890644,0.00425537944296251,0.00834083239771654
2,Southern,40-49,0.90271471370697,0.653991856294409,0.00754963451807641,0.0147993991463991
2,Southern,Over 50,0.586002807521496,0.701426255120137,0.0051450435068721,0.0100847567504134
3,Northern,10-19,1.1630599465317,0.64080339641436,0.00317408368265555,0.00622127445563753
3,Northern,20-29,0.935502713931997,0.710619997686186,0.00231911951185492,0.00454544931522012
3,Northern,30-39,0.793347459468466,0.769900182738306,0.00325406132919593,0.00637798091678068
3,Northern,40-49,0.735958844728863,0.780971080812518,0.00504914747226541,0.00989664791068315
3,Northern,Over 50,0.475741640130645,0.798217740683632,0.0029266442499682,0.00573621066042308
3,Southern,10-19,1.22379143853524,0.509517927952781,0.00373656943039589,0.00732401828677472
3,Southern,20-29,1.05365364078436,0.577474535069227,0.00280334050329425,0.00549460315159613
3,Southern,30-39,0.97469305471555,0.629431064665255,0.00409282729434393,0.00802220465358669
3,Southern,40-49,0.887314036885383,0.677078345812559,0.00774474271311209,0.0151818213267614
3,Southern,Over 50,0.594482530534486,0.686710493533395,0.00499812595026581,0.00979677503971511
4,Northern,10-19,1.17740977124913,0.620376363393884,0.00302673035985965,0.0059324534181316
4,Northern,20-29,0.936644023935414,0.708717297739264,0.00230079978917222,0.00450954224849561
4,Northern,30-39,0.792481208664651,0.770725758978648,0.00324413319555747,0.00635852058135491
4,Northern,40-49,0.730280772828371,0.773825246463026,0.00497835018190282,0.00975787590740703
4,Northern,Over 50,0.459112722721688,0.798565059192607,0.00291534486800815,0.00571406312158425
4,Southern,10-19,1.23339994922606,0.503539482668827,0.00365913084758817,0.00717222311474784
4,Southern,20-29,1.0584127529065,0.577506517452529,0.00278075115381405,0.00545032506479272
4,Southern,30-39,0.972947800413845,0.631573466685099,0.00407772378276353,0.00799259503586991
4,Southern,40-49,0.896049630304287,0.654887789774996,0.00746265443169592,0.0146288334185986
4,Southern,Over 50,0.597205886030736,0.679308573787704,0.00489713403488325,0.00959881015313213
5,Northern,10-19,1.17691768025459,0.61070327599024,0.00293464933245918,0.00575196776496291
5,Northern,20-29,0.941720643193021,0.696021708595,0.00224029458823281,0.00439095176868601
5,Northern,30-39,0.795515863334488,0.765492078450634,0.00319068610307368,0.00625376135585524
5,Northern,40-49,0.725574959543523,0.768351287168034,0.00489127907381962,0.009587201096583
5,Northern,Over 50,0.46157598816181,0.789672412954929,0.00286248503200862,0.0056104567993683
5,Southern,10-19,1.22402278024046,0.518579986282919,0.00370669672094513,0.00726544138104989
5,Southern,20-29,1.0597025051811,0.564375561292933,0.0026873503330182,0.00526725441797825
5,Southern,30-39,0.977287819458842,0.632175656494852,0.00401423850165173,0.00786814689340544
5,Southern,40-49,0.901944272592001,0.646738658221309,0.00722443939601618,0.0141617801579372
5,Southern,Over 50,0.588878784227684,0.684779292473381,0.00488841329978653,0.00958170504701589
6,Northern,10-19,1.18414653616169,0.601232484213037,0.00285725130168326,0.00560026273588229
6,Northern,20-29,0.953496458928651,0.681487875368548,0.00217929163370358,0.00427138598320435
6,Northern,30-39,0.79653872804388,0.76240643834662,0.00315770025253361,0.00618910727400557
6,Northern,40-49,0.736760965336052,0.771595867786993,0.00487124039528735,0.00954791635305795
