"from_dst_end","within_variation"
-303,0.874473642566123
-274,0.876384688076568
-310,0.878117337143587
-226,0.877681883612202
-267,0.873515506289013
-275,0.871578006009122
-249,0.829063780495284
-302,0.846409302827063
-273,0.834057330704823
-309,0.878390982739902
-225,0.88147858226139
-266,0.8243885606032
-248,0.835882082996972
-301,0.804057132827312
-272,0.825929449836004
-308,0.823913184087662
-224,0.827403313479796
-265,0.823438615369151
-247,0.857747795352632
-300,0.816889317433953
-271,0.82350752606324
-307,0.824779816107019
-223,0.833387494548582
-264,0.827873676524039
-246,0.860947020494207
-299,0.822182811380178
-270,0.835958871209176
-306,0.834595511034074
-222,0.841981772209889
-263,0.826043914857055
-245,0.815263346711454
-298,0.817788435011983
-269,0.840637312782724
-305,0.83578856896722
-221,0.848742900286006
-262,0.832140015186604
-244,0.815579926546928
-297,0.82394509152039
-268,0.869019994152268
-304,0.850488204626998
-220,0.85649592820213
-261,0.865930509318171
-243,0.826756745841905
-296,0.857617745393007
-219,0.860628848681465
-260,0.87394878137191
-242,0.828212919525431
-295,0.863066205813917
-218,0.875156956805764
-259,0.815897256822887
-241,0.839532885414438
-294,0.806259248850826
-217,0.840307458321481
-258,0.827217504724112
-240,0.869091832220368
-293,0.826482205607982
-216,0.836135285992942
-257,0.825462818440112
-239,0.871672829622057
-292,0.827705546286579
-215,0.843045423472764
-256,0.831898607896685
-238,0.816722232139741
-291,0.821044776909469
-214,0.843888080582001
-255,0.83923850527387
-237,0.814322687227093
-290,0.833142690254033
-213,0.854788198202624
-254,0.873116460300349
-236,0.828264643457828
-289,0.854719346679574
-212,0.882608262453614
-253,0.880525223139617
-235,0.828751107976144
-288,0.85525176150942
-211,0.888658991554793
-252,0.827051576852704
-234,0.842016467494134
-287,0.808883084519383
-210,0.845304084568521
-251,0.8299588585072
-233,0.869769204445539
-286,0.812700346678137
-209,0.83787484219081
-250,0.828069654412669
-232,0.873725482998632
-285,0.821367009893139
-208,0.844379457879317
-231,0.827159727649474
-284,0.823260148374339
-207,0.849212605968274
-230,0.824165578029193
-283,0.834693378677043
-206,0.859998027879986
-229,0.833964098285008
-282,0.861377469330275
-205,0.88624978656626
-228,0.842497361174469
-281,0.871036829413182
-204,0.894180398224285
-227,0.855185073251392
-280,0.813182687722342
-203,0.853141957795205
-279,0.819592176885976
-202,0.847579031021705
-278,0.823124075441952
-201,0.853688680171255
-277,0.82364448800266
-200,0.861065115784287
-276,0.837418238348561
-199,0.865502443525297
-198,0.889069209666348
-197,0.89535789186525
-196,0.855155081542792
-195,0.840505497553397
-194,0.849757632921434
-193,0.852419345467936
-192,0.867670126282389
-191,0.887882847119314
-190,0.89240893929377
-189,0.850428984966375
-188,0.841547758359031
-187,0.84449530126775
-186,0.844510709588449
-185,0.863954403125357
-184,0.887052383511255
-183,0.896668630624757
-182,0.86079410627732
-181,0.852506596067342
-180,0.856861557467688
-179,0.86672116067201
-178,0.881478913139714
-177,0.893992637334462
-176,0.897671495815575
-175,0.862601973087096
-174,0.853260503113179
-173,0.850188723966074
-172,0.858489780378609
-171,0.870451837763553
-170,0.888140667826446
-169,0.895461696380534
-168,0.868184335965647
-167,0.855918074566979
-166,0.856863630901957
-165,0.860636534849408
-164,0.870374261581087
-163,0.89657359580466
-162,0.906972637854005
-161,0.871580760742898
-160,0.865486086797289
-159,0.859963163233638
-158,0.869195116104171
-157,0.874515305199649
-156,0.899740874873516
-155,0.907696918995367
-154,0.868366730054023
-153,0.861369879147989
-152,0.86641235970327
-151,0.865120884114285
-150,0.8733391298228
-149,0.899210848333439
-148,0.905203179832643
-147,0.872777515684673
-146,0.866624852138136
-145,0.869985291873321
-144,0.874761319203764
-143,0.886479964574979
-142,0.904190657145067
-141,0.907116390409986
-140,0.876608925194916
-139,0.86465297067907
-138,0.870411237236687
-137,0.871397999169279
-136,0.878660682912502
-135,0.899184101658828
-134,0.908186847060381
-133,0.876768259613923
-132,0.864114070033584
-131,0.867684698372226
-130,0.876059991307293
-129,0.888706600397887
-128,0.906021710997976
-127,0.911287716320259
-126,0.882233442440071
-125,0.88333476021928
-124,0.869866683556308
-123,0.870795332530607
-122,0.879127008303698
-121,0.8984674361626
