doy,Hemisphere,within_variation,sd,se,ci
55,Southern,0.958237656,0.872337511,0.004925474,0.009654125
56,Northern,0.824867438,0.934043447,0.002364728,0.004634817
56,Southern,0.969302687,0.884973319,0.004956764,0.009715448
57,Northern,0.858215337,0.907793416,0.002276738,0.004462358
57,Southern,0.997931797,0.857466162,0.004712704,0.009237069
58,Northern,0.86613146,0.902820892,0.002337699,0.004581842
58,Southern,1.014287536,0.840362963,0.004823225,0.009453723
59,Northern,0.815105457,0.943695161,0.002524233,0.004947448
59,Southern,0.975758607,0.88458236,0.005365739,0.010517123
60,Northern,0.804134111,0.94622354,0.002434608,0.004771783
60,Southern,0.943794449,0.888035119,0.005118464,0.010032409
61,Northern,0.811999442,0.939529849,0.002386986,0.004678443
61,Southern,0.943407143,0.884694651,0.004981686,0.009764299
62,Northern,0.812404492,0.93549102,0.002361019,0.004627548
62,Southern,0.950201157,0.884934032,0.004935148,0.009673076
63,Northern,0.823381741,0.928820066,0.002335371,0.004577277
63,Southern,0.965902025,0.87434897,0.004881661,0.009568241
64,Northern,0.850156372,0.913171441,0.002273464,0.00445594
64,Southern,0.993111907,0.859761982,0.004753259,0.009316562
65,Northern,0.861673284,0.901407956,0.002316953,0.004541181
65,Southern,1.017045211,0.848362721,0.004827808,0.0094627
66,Northern,0.810433659,0.945762284,0.002502157,0.004904179
66,Southern,0.980596948,0.884341446,0.005299164,0.010386622
67,Northern,0.8093023,0.943135935,0.002405059,0.004713867
67,Southern,0.942434443,0.881333361,0.004987889,0.009776462
68,Northern,0.817492652,0.935391461,0.002352682,0.004611207
68,Southern,0.964533675,0.884452955,0.004933692,0.009670224
69,Northern,0.819264157,0.932390491,0.002341411,0.004589117
69,Southern,0.955507207,0.874357194,0.004871316,0.009547963
70,Northern,0.829928902,0.923566741,0.002315024,0.004537397
70,Southern,0.962755287,0.873588071,0.004844602,0.0094956
71,Northern,0.863781388,0.904311462,0.002238751,0.004387905
71,Southern,0.986467789,0.859744343,0.0046728,0.009158846
72,Northern,0.873181915,0.899333278,0.002293732,0.004495668
72,Southern,1.010494973,0.850103799,0.004770747,0.009350849
73,Northern,0.822068856,0.939257527,0.002486114,0.004872734
73,Southern,0.974856849,0.886173668,0.00528534,0.010359523
74,Northern,0.807084042,0.939396465,0.002383748,0.004672097
74,Southern,0.954067453,0.882269756,0.00493358,0.009670005
75,Northern,0.819718715,0.927584536,0.002331984,0.004570639
75,Southern,0.959523999,0.884382094,0.004894088,0.009592591
76,Northern,0.830197076,0.922990184,0.002306488,0.004520668
76,Southern,0.963663748,0.876556113,0.00485026,0.009506686
77,Northern,0.843356513,0.913283388,0.002264477,0.004438326
77,Southern,0.965915512,0.861566934,0.004757208,0.0093243
78,Northern,0.86547097,0.888516179,0.002172028,0.004257128
78,Southern,0.996390961,0.842043552,0.004475411,0.008771944
79,Northern,0.870366114,0.887509595,0.002226497,0.004363886
79,Southern,1.017084174,0.824853516,0.004498272,0.008816768
80,Northern,0.824668046,0.922815221,0.002385021,0.004674593
80,Southern,0.977538152,0.860526068,0.00489457,0.009593556
81,Northern,0.825949745,0.908578672,0.002258316,0.004426251
81,Southern,0.952855125,0.857433629,0.004617874,0.009051184
82,Northern,0.832935762,0.897071047,0.002203049,0.004317928
