doy,Hemisphere,within_variation,sd,se,ci
232,Northern,0.876477585,0.822802232,0.00170961,0.003350792
232,Southern,0.988216628,0.792468323,0.00299694,0.005873997
233,Northern,0.886669177,0.819559341,0.001752933,0.003435704
233,Southern,0.997913235,0.781514467,0.003099955,0.006075915
234,Northern,0.852203272,0.843027765,0.001842993,0.003612221
234,Southern,0.95910315,0.82982275,0.003423209,0.006709504
235,Northern,0.84410202,0.843060205,0.001757413,0.003444484
235,Southern,0.940141676,0.813057073,0.003133197,0.006141064
236,Northern,0.843670458,0.838242518,0.001730547,0.003391828
236,Southern,0.948891262,0.803468292,0.003047049,0.005972211
237,Northern,0.845968653,0.835562323,0.001724852,0.003380666
237,Southern,0.94521842,0.813869328,0.003063363,0.006004184
238,Northern,0.848900524,0.836182686,0.001721302,0.003373708
238,Southern,0.96270975,0.797345149,0.002980485,0.005841742
239,Northern,0.873017047,0.81779185,0.001668282,0.003269789
239,Southern,0.987678739,0.780434911,0.002867773,0.005620824
240,Northern,0.881454799,0.819423685,0.001722931,0.003376901
240,Southern,0.992983101,0.779323209,0.002967478,0.005816252
241,Northern,0.843629835,0.846444473,0.001814846,0.003557054
241,Southern,0.967395243,0.813826559,0.00320598,0.006283724
242,Northern,0.831708604,0.839180178,0.001723817,0.003378636
242,Southern,0.936661589,0.810652351,0.003052963,0.005983801
243,Northern,0.833876024,0.836874961,0.001704214,0.003340215
243,Southern,0.942277918,0.806606083,0.003003188,0.005886238
244,Northern,0.836783569,0.836486114,0.001699449,0.003330875
244,Southern,0.943150729,0.803864785,0.002990226,0.005860833
245,Northern,0.844573503,0.835212885,0.001693426,0.003319071
245,Southern,0.952865138,0.801813072,0.002967664,0.00581661
246,Northern,0.864365542,0.817675416,0.001645502,0.00322514
246,Southern,0.974475159,0.782865622,0.002851388,0.005588707
247,Northern,0.872304738,0.81294399,0.001686882,0.003306245
247,Southern,0.984665574,0.779729128,0.002925118,0.005733223
248,Northern,0.84026924,0.842099701,0.001785697,0.003499921
248,Southern,0.964038388,0.802375397,0.003124118,0.006123271
249,Northern,0.830487734,0.845861319,0.001746321,0.003422744
249,Southern,0.933621099,0.811098022,0.003011242,0.005902024
250,Northern,0.827050402,0.84172357,0.001712019,0.003355513
250,Southern,0.953040978,0.796850693,0.002916481,0.00571629
251,Northern,0.830274426,0.839280278,0.001693388,0.003318997
251,Southern,0.963013587,0.800037629,0.00296095,0.005803452
252,Northern,0.840130549,0.835155949,0.001678954,0.003290705
252,Southern,0.962060957,0.799469791,0.002918551,0.005720346
253,Northern,0.866197115,0.818283693,0.001627489,0.003189834
253,Southern,0.988882964,0.778928423,0.002797073,0.005482249
254,Northern,0.875634069,0.812211338,0.001661426,0.003256352
254,Southern,1.010465461,0.766518357,0.002824925,0.005536843
255,Northern,0.832577391,0.850800062,0.001785182,0.003498912
255,Southern,0.977387525,0.802478765,0.003079109,0.006035051
256,Northern,0.825156748,0.841025428,0.001706917,0.003345513
256,Southern,0.950819495,0.804242358,0.002981581,0.005843888
257,Northern,0.826533275,0.838083443,0.001681912,0.003296503
257,Southern,0.951501954,0.799449555,0.00289034,0.005665053
258,Northern,0.826083928,0.84443398,0.001687074,0.00330662
258,Southern,0.956526427,0.801377594,0.002894834,0.005673859
259,Northern,0.837585914,0.828904323,0.001653762,0.003241329
259,Southern,0.965685924,0.790671239,0.002841495,0.005569315
260,Northern,0.852112431,0.822185487,0.001633628,0.003201867
260,Southern,0.977954354,0.781670647,0.002764418,0.005418242
261,Northern,0.862411209,0.818097402,0.001663473,0.003260364
261,Southern,0.998532854,0.776976639,0.002831648,0.005550018
262,Northern,0.821270596,0.853836826,0.001772533,0.003474119
262,Southern,0.974338684,0.803627747,0.003039882,0.005958162
263,Northern,0.813791218,0.848127212,0.001697729,0.003327503
263,Southern,0.943432833,0.81085483,0.002937475,0.005757437
264,Northern,0.812829443,0.848495903,0.001684174,0.003300935
264,Southern,0.947015122,0.802103814,0.002870502,0.005626168
265,Northern,0.819360436,0.843081105,0.001666269,0.003265843
265,Southern,0.953290214,0.80116656,0.002852247,0.005590386
266,Northern,0.825073311,0.842565095,0.001662071,0.003257615
266,Southern,0.957913296,0.798130985,0.002827941,0.005542747
267,Northern,0.845913428,0.824976859,0.001613534,0.003162484
267,Southern,0.979962153,0.777477281,0.002718402,0.005328049
268,Northern,0.859947819,0.817796663,0.001649575,0.003233123
268,Southern,0.995097272,0.778642022,0.002822186,0.00553147
269,Northern,0.819467005,0.852954413,0.00176017,0.003449887
269,Southern,0.962237357,0.811278613,0.003066367,0.006010072
270,Northern,0.806922361,0.851193381,0.001700436,0.003332809
270,Southern,0.941860289,0.805300654,0.002893005,0.005670275
271,Northern,0.810408002,0.848445162,0.001680482,0.003293699
271,Southern,0.944299013,0.794715464,0.002819878,0.005526944
272,Northern,0.813592733,0.842599348,0.001659731,0.003253029
272,Southern,0.948708598,0.800640706,0.002831896,0.005550499
273,Northern,0.816298824,0.842861656,0.001652956,0.003239749
273,Southern,0.95260278,0.794041187,0.002794119,0.005476454
274,Northern,0.838148949,0.829887206,0.001613568,0.00316255
274,Southern,0.965393046,0.783254665,0.002731582,0.005353881
275,Northern,0.847349337,0.819573332,0.001638744,0.003211894
275,Southern,0.987553041,0.776190589,0.002807663,0.005503005
276,Northern,0.808445784,0.85208915,0.001751569,0.003433029
276,Southern,0.959986441,0.808254974,0.003048305,0.00597467
277,Northern,0.796297394,0.85463372,0.001693866,0.003319932
277,Southern,0.936648966,0.806308178,0.002902606,0.005689092
278,Northern,0.801399524,0.848404281,0.001666282,0.003265868
278,Southern,0.933559799,0.800934665,0.002827335,0.005541558
279,Northern,0.800870852,0.849546422,0.001657659,0.003248966
279,Southern,0.940295858,0.796895426,0.002798865,0.005485757
280,Northern,0.808796777,0.848949416,0.001658649,0.003250906
280,Southern,0.943875079,0.797042584,0.002797622,0.005483321
281,Northern,0.838382682,0.830020562,0.00160643,0.003148558
281,Southern,0.974074071,0.776872968,0.002685924,0.00526439
282,Northern,0.84892689,0.822042053,0.001633755,0.003202117
282,Southern,0.998372433,0.766022859,0.002725318,0.005341607
283,Northern,0.810143881,0.857518721,0.001753639,0.003437087
283,Southern,0.972403684,0.7966317,0.002934192,0.005751005
284,Northern,0.800176189,0.852840599,0.001685107,0.003302765
284,Southern,0.940120263,0.798861635,0.002839707,0.005565809
285,Northern,0.801568592,0.847503508,0.001656418,0.003246535
285,Southern,0.954631627,0.783934756,0.002733621,0.005357878
286,Northern,0.800585626,0.847388884,0.001643925,0.003222049
286,Southern,0.956906138,0.789676473,0.002784126,0.005456869
287,Northern,0.809477499,0.845482993,0.001630315,0.003195373
287,Southern,0.947023349,0.791219983,0.002741448,0.005373217
288,Northern,0.835446215,0.827412111,0.001586858,0.003110198
288,Southern,0.972921265,0.771646245,0.002637494,0.005169467
289,Northern,0.846831939,0.821635659,0.001617634,0.00317052
289,Southern,0.991604404,0.777199854,0.00274343,0.005377106
290,Northern,0.806990292,0.858003001,0.001730745,0.003392216
290,Southern,0.964011287,0.801127602,0.00293475,0.005752098
291,Northern,0.800915401,0.852948646,0.001656086,0.003245884
291,Southern,0.947372834,0.799237646,0.002785747,0.005460045
292,Northern,0.803107977,0.848711757,0.001636571,0.003207635
292,Southern,0.951827773,0.786396342,0.002708814,0.005309255
293,Northern,0.808887075,0.847578769,0.001631341,0.003197385
293,Southern,0.956213226,0.790095439,0.002731475,0.005353671
294,Northern,0.81264323,0.843463046,0.001620448,0.003176034
294,Southern,0.959727496,0.78808657,0.002707866,0.005307395
295,Northern,0.838062212,0.831846816,0.001592303,0.00312087
295,Southern,0.974274669,0.768580465,0.00260992,0.005115421
296,Northern,0.846982539,0.826800094,0.001622543,0.003180141
296,Southern,0.989320884,0.774720103,0.002712113,0.005315722
297,Northern,0.807674835,0.863184998,0.001740823,0.003411967
297,Southern,0.956731249,0.810082078,0.002938805,0.005760044
298,Northern,0.799648435,0.856084052,0.001664969,0.003263295
298,Southern,0.941092528,0.798340766,0.002767483,0.005424245
299,Northern,0.803400572,0.853835071,0.001647738,0.003229521
299,Southern,0.945648914,0.796339876,0.002738472,0.005367383
300,Northern,0.807671009,0.847287649,0.001627036,0.003188947
300,Southern,0.949705407,0.789318326,0.002699996,0.00529197
301,Northern,0.81061203,0.846499779,0.001621495,0.003178087
301,Southern,0.961464185,0.785964239,0.002678886,0.005250593
302,Northern,0.840685605,0.8266424,0.001572829,0.003082701
302,Southern,0.98261344,0.766851908,0.002591411,0.005079143
303,Northern,0.854168686,0.825643907,0.001621902,0.003178885
303,Southern,1.001330602,0.766755516,0.002683688,0.00526001
304,Northern,0.814255974,0.858694526,0.001736175,0.003402858
304,Southern,0.972369484,0.789658772,0.002873634,0.00563231
305,Northern,0.815097515,0.854077633,0.001670512,0.003274158
305,Southern,0.958381159,0.790465028,0.002751229,0.005392389
306,Northern,0.799963573,0.852492624,0.001658731,0.003251068
306,Southern,0.961457336,0.781251614,0.00268158,0.005255876
307,Northern,0.801080111,0.853447067,0.001647093,0.003228258
307,Southern,0.969003864,0.786897769,0.002719624,0.005330442
308,Northern,0.8094673,0.847584556,0.001622178,0.003179425
308,Southern,0.958861068,0.786265985,0.0026905,0.005273357
309,Northern,0.834190732,0.828400061,0.001570554,0.003078243
309,Southern,0.979876217,0.767565514,0.00259728,0.005090646
310,Northern,0.839850708,0.827923137,0.001609798,0.003155161
310,Southern,0.99255216,0.771118439,0.002705013,0.005301807
311,Northern,0.79755876,0.863411946,0.001718421,0.003368059
311,Southern,0.966087685,0.790150354,0.002861118,0.005607776
312,Northern,0.794778804,0.857957266,0.001655899,0.003245518
312,Southern,0.951547014,0.790294362,0.002719854,0.005330893
313,Northern,0.796251343,0.855732519,0.001651535,0.003236963
313,Southern,0.954100812,0.780610637,0.002657799,0.005209264
314,Northern,0.793466881,0.861837467,0.001677597,0.003288044
314,Southern,0.950649975,0.795447488,0.002722188,0.005335467
315,Northern,0.805375937,0.841200428,0.001590646,0.003117622
315,Southern,0.962345065,0.78010123,0.002629273,0.00515335
316,Northern,0.803515679,0.837120301,0.001558219,0.003054065
316,Southern,0.974695879,0.766143265,0.002528264,0.004955372
317,Northern,0.820615319,0.830062546,0.001583855,0.003104313
317,Southern,0.996285191,0.761690941,0.002600628,0.005097208
318,Northern,0.783126246,0.86280182,0.001689215,0.003310815
318,Southern,0.956569094,0.794554951,0.002836069,0.005558679
319,Northern,0.782488808,0.855766126,0.001620502,0.003176139
319,Southern,0.953523231,0.780094219,0.002645938,0.005186016
320,Northern,0.78507762,0.850937038,0.001591894,0.003120068
320,Southern,0.954334877,0.779242496,0.002651727,0.005197363
321,Northern,0.789094064,0.846346421,0.001575755,0.003088437
321,Southern,0.955318513,0.779973707,0.002623395,0.00514183
322,Northern,0.796407298,0.844068925,0.001568964,0.003075125
322,Southern,0.950348512,0.775453856,0.002591912,0.005080122
323,Northern,0.829133945,0.826239262,0.001522642,0.002984336
323,Southern,0.980257038,0.761919584,0.002512712,0.00492489
324,Northern,0.836835643,0.822872785,0.001559067,0.003055728
324,Southern,0.99859198,0.756982749,0.00258147,0.005059659
325,Northern,0.790030301,0.85841943,0.001673498,0.00328001
325,Southern,0.967296943,0.786740306,0.002771312,0.005431753
326,Northern,0.786239632,0.851518739,0.00160712,0.00314991
326,Southern,0.945925918,0.782919084,0.002634553,0.005163701
327,Northern,0.791782087,0.845713991,0.001576853,0.003090589
327,Southern,0.949063541,0.774355128,0.002560037,0.005017647
328,Northern,0.801270947,0.837966552,0.001548953,0.003035905
328,Southern,0.956120024,0.771842676,0.002537392,0.004973261
329,Northern,0.79689396,0.844807933,0.001597179,0.003130426
329,Southern,0.962286675,0.773270078,0.002526649,0.004952204
330,Northern,0.812899391,0.830673975,0.001561845,0.003061173
330,Southern,0.986281724,0.754744514,0.002451193,0.004804311
331,Northern,0.810913859,0.827513232,0.001570867,0.003078857
331,Southern,1.000232881,0.751691168,0.002518868,0.004936958
332,Northern,0.767395943,0.861922143,0.00166301,0.003259454
332,Southern,0.97148629,0.775786166,0.002686731,0.005265971
333,Northern,0.767453636,0.854295264,0.001592159,0.003120587
333,Southern,0.950098461,0.776738533,0.002575585,0.005048121
334,Northern,0.769724264,0.852006056,0.001570999,0.003079115
334,Southern,0.942463407,0.779771405,0.002580808,0.005058358
335,Northern,0.768808181,0.848044243,0.001552838,0.003043519
335,Southern,0.94475163,0.774303607,0.002527167,0.004953221
336,Northern,0.771597794,0.845631511,0.001543077,0.003024387
336,Southern,0.950135494,0.767643695,0.00249352,0.004887271
337,Northern,0.793592991,0.828290067,0.001496157,0.002932425
337,Southern,0.971029948,0.754792619,0.002434676,0.004771937
338,Northern,0.796279043,0.82748364,0.001532535,0.003003725
338,Southern,0.986305455,0.757312995,0.002536553,0.00497162
339,Northern,0.747160077,0.866770327,0.001640099,0.003214549
339,Southern,0.957467982,0.78074284,0.002689229,0.005270867
340,Northern,0.751880534,0.855798161,0.001568314,0.003073852
340,Southern,0.942745101,0.772005985,0.002525959,0.004950853
341,Northern,0.755846377,0.849081122,0.001541002,0.003020321
341,Southern,0.950072604,0.764755173,0.002466888,0.004835073
342,Northern,0.762900567,0.845815546,0.001527776,0.002994398
342,Southern,0.954305122,0.768128172,0.00247657,0.00485405
343,Northern,0.763905471,0.845938415,0.001527074,0.002993022
343,Southern,0.958328368,0.771992899,0.00249209,0.004884468
344,Northern,0.764384647,0.838304819,0.00150102,0.002941957
344,Southern,0.969882419,0.754386456,0.002410636,0.004724817
345,Northern,0.769075707,0.837589026,0.001533162,0.003004954
345,Southern,0.984567563,0.753160296,0.002486612,0.004873735
346,Northern,0.72751464,0.8728543,0.001638647,0.003211702
346,Southern,0.965861567,0.774557346,0.002650651,0.005195255
347,Northern,0.734274817,0.861810925,0.001563542,0.003064498
347,Southern,0.941965874,0.772637162,0.002537236,0.004972955
348,Northern,0.741786958,0.852200836,0.001532777,0.0030042
348,Southern,0.948700804,0.767484669,0.002465211,0.004831785
349,Northern,0.750924659,0.845677325,0.001513957,0.002967312
349,Southern,0.957363648,0.760065874,0.002433834,0.004770287
350,Northern,0.760287099,0.844116942,0.001511197,0.002961904
350,Southern,0.960825534,0.758202951,0.002428703,0.00476023
351,Northern,0.779519315,0.827524948,0.001471277,0.002883661
351,Southern,0.97386882,0.748527788,0.002368794,0.004642808
352,Northern,0.776024869,0.826364106,0.001505749,0.002951226
352,Southern,0.990509722,0.74616804,0.002442949,0.004788155
353,Northern,0.742826271,0.858469056,0.001607141,0.003149952
353,Southern,0.967879264,0.769494531,0.002607078,0.005109851
354,Northern,0.749880795,0.844599921,0.001531558,0.003001811
354,Southern,0.952854826,0.761618118,0.002449097,0.004800203
355,Northern,0.751095256,0.840748609,0.001512045,0.002963565
355,Southern,0.957075946,0.754044589,0.002398753,0.004701528
356,Northern,0.755634976,0.839409387,0.001502871,0.002945584
356,Southern,0.970326421,0.744774986,0.002359389,0.004624373
357,Northern,0.760823919,0.833561126,0.001486305,0.002913115
357,Southern,0.975441501,0.748093205,0.002369128,0.004643462
358,Northern,0.754770239,0.82524139,0.001463378,0.002868179
358,Southern,0.985248638,0.736338754,0.002311249,0.004530019
359,Northern,0.690536224,0.860444356,0.001535541,0.003009617
359,Southern,0.965586479,0.743693641,0.002354086,0.004613979
360,Northern,0.68978528,0.885949415,0.001689353,0.003311086
360,Southern,0.962208035,0.773585787,0.00260924,0.005114087
361,Northern,0.772091921,0.840792566,0.001587362,0.003111186
361,Southern,0.96972393,0.752691461,0.00245954,0.004820671
362,Northern,0.792956061,0.827500853,0.00153062,0.002999973
362,Southern,0.975907499,0.744204553,0.002393399,0.004691034
363,Northern,0.79771441,0.826202486,0.001516734,0.002972756
363,Southern,0.985829071,0.746064319,0.002384079,0.004672766
364,Northern,0.8047646,0.824198603,0.001507603,0.00295486
364,Southern,0.99443378,0.738446035,0.002355804,0.004617349
365,Northern,0.819873992,0.818369233,0.001487592,0.002915639
365,Southern,1.009221958,0.733189194,0.002332444,0.004571562
366,Northern,0.875488948,0.802112971,0.001438479,0.002819378
366,Southern,1.05154902,0.73235679,0.002343101,0.00459245
