woy,Hemisphere,dist_code,within_variation,sd,se,ci
17,Southern,"(0,30]",0.942304938,0.574492664,0.001621457,0.003178029
17,Southern,"(30,60]",1.079544409,0.562664327,0.003578771,0.007014606
18,Northern,"(0,30]",0.88175368,0.646572315,0.002199493,0.004310987
18,Northern,"(30,60]",0.83593506,0.647583653,0.001271337,0.002491786
18,Northern,"(60,90]",0.910796652,0.603135913,0.006799162,0.013328164
18,Southern,"(0,30]",0.937872706,0.573880794,0.001608254,0.00315215
18,Southern,"(30,60]",1.084682959,0.56182357,0.003548462,0.006955193
19,Northern,"(0,30]",0.883213514,0.635288329,0.002147495,0.004209071
19,Northern,"(30,60]",0.843726601,0.640450894,0.001247862,0.002445775
19,Northern,"(60,90]",0.937503684,0.598107357,0.006724129,0.013181066
19,Southern,"(0,30]",0.946328988,0.572433062,0.001587894,0.003112244
19,Southern,"(30,60]",1.099886635,0.553588925,0.003472023,0.006805363
20,Northern,"(0,30]",0.886318975,0.630961117,0.002124978,0.004164938
20,Northern,"(30,60]",0.845680972,0.641049048,0.001243909,0.002438028
20,Northern,"(60,90]",0.939997313,0.59948287,0.006742576,0.01321723
20,Southern,"(0,30]",0.938769011,0.576030441,0.001589111,0.00311463
20,Southern,"(30,60]",1.100714291,0.557682737,0.003483545,0.006827944
21,Northern,"(0,30]",0.888575003,0.630551891,0.002104718,0.004125227
21,Northern,"(30,60]",0.843540513,0.636869408,0.001227061,0.002405006
21,Northern,"(60,90]",0.947873417,0.583625282,0.006536988,0.012814207
21,Southern,"(0,30]",0.939179593,0.575231765,0.001564592,0.003066571
21,Southern,"(30,60]",1.096940904,0.563626502,0.003486824,0.006834366
22,Northern,"(0,30]",0.891285651,0.630783935,0.002084533,0.004085663
22,Northern,"(30,60]",0.852229751,0.632181816,0.001208297,0.002368229
22,Northern,"(60,90]",0.963812099,0.591065281,0.006565366,0.012869803
22,Southern,"(0,30]",0.939933765,0.573313613,0.001546809,0.003031718
22,Southern,"(30,60]",1.099365164,0.553028848,0.003394476,0.006653355
23,Northern,"(0,30]",0.890124417,0.632541164,0.002076664,0.00407024
23,Northern,"(30,60]",0.856290759,0.635343487,0.00120716,0.002366
23,Northern,"(60,90]",0.958596111,0.585040628,0.006504066,0.012749642
23,Southern,"(0,30]",0.936528933,0.565235254,0.001508125,0.002955897
23,Southern,"(30,60]",1.101809758,0.560155403,0.003410513,0.006684783
24,Northern,"(0,30]",0.88679501,0.636354778,0.002077672,0.004072215
24,Northern,"(30,60]",0.860694969,0.629342788,0.001190989,0.002334306
24,Northern,"(60,90]",0.959380625,0.600608559,0.006652926,0.013041433
24,Southern,"(0,30]",0.932106012,0.562548463,0.001484788,0.002910155
24,Southern,"(30,60]",1.114745829,0.546685268,0.003297896,0.006464041
25,Northern,"(0,30]",0.888263577,0.628288809,0.002037773,0.003994013
25,Northern,"(30,60]",0.858330942,0.631377936,0.001190324,0.002333002
25,Northern,"(60,90]",0.950462819,0.611363086,0.006778294,0.01328719
25,Southern,"(0,30]",0.934841911,0.563492883,0.001473462,0.002887957
25,Southern,"(30,60]",1.111726907,0.555698987,0.00334201,0.006550506
26,Northern,"(0,30]",0.883023975,0.628218374,0.002023166,0.003965383
26,Northern,"(30,60]",0.86737999,0.627222574,0.001177248,0.002307374
26,Northern,"(60,90]",0.950107741,0.610821521,0.006734727,0.013201765
26,Southern,"(0,30]",0.944373632,0.553299682,0.001432683,0.002808031
26,Southern,"(30,60]",1.115969338,0.558852799,0.003330993,0.006528906
27,Northern,"(0,30]",0.886406038,0.624121671,0.001994284,0.003908773
27,Northern,"(30,60]",0.864635293,0.628447093,0.00117544,0.002303829
27,Northern,"(60,90]",0.964231829,0.584974702,0.006472607,0.012687956
27,Southern,"(0,30]",0.952955917,0.555087116,0.001427771,0.002798402
27,Southern,"(30,60]",1.125340762,0.534226759,0.003141369,0.006157228
28,Northern,"(0,30]",0.885655663,0.626923906,0.001995319,0.003910801
28,Northern,"(30,60]",0.86881255,0.630137662,0.001179741,0.002312261
28,Northern,"(60,90]",0.949964055,0.611426244,0.006778995,0.013288563
28,Southern,"(0,30]",1.001818349,0.682869013,0.002082353,0.004081383
28,Southern,"(30,60]",1.171392666,0.649430704,0.004238674,0.008308077
29,Northern,"(0,30]",0.886869208,0.623904168,0.001971815,0.003864733
29,Northern,"(30,60]",0.869417707,0.629133548,0.001172396,0.002297865
29,Northern,"(60,90]",0.959539919,0.607549425,0.006733116,0.013198626
29,Southern,"(0,30]",0.96743107,0.682358783,0.003142476,0.006159297
29,Southern,"(30,60]",1.119588801,0.692066422,0.006281916,0.012313557
30,Northern,"(0,30]",0.891940209,0.61224846,0.001923855,0.003770731
30,Northern,"(30,60]",0.875331783,0.621723659,0.001155932,0.002265594
30,Northern,"(60,90]",0.961614446,0.618106275,0.006875491,0.013477734
30,Southern,"(0,30]",0.960405294,0.684831283,0.003109498,0.006094657
30,Southern,"(30,60]",1.132840064,0.683367378,0.006116629,0.011989536
31,Northern,"(0,30]",0.892452937,0.617330496,0.001928301,0.003779445
31,Northern,"(30,60]",0.87234693,0.621068984,0.001148589,0.002251202
31,Northern,"(60,90]",0.960250113,0.606824423,0.006720955,0.013174785
31,Southern,"(0,30]",0.964423961,0.686924507,0.003083108,0.006042928
31,Southern,"(30,60]",1.132365307,0.67071857,0.005946984,0.011656984
32,Northern,"(0,30]",0.890906365,0.610445705,0.001891775,0.003707854
32,Northern,"(30,60]",0.868548321,0.62195379,0.001143786,0.002241789
32,Northern,"(60,90]",0.950188052,0.602859239,0.006630033,0.012996529
32,Southern,"(0,30]",0.975444643,0.6782352,0.003017032,0.005913415
32,Southern,"(30,60]",1.123703303,0.661759588,0.005776972,0.011323701
33,Northern,"(0,30]",0.885435477,0.617256204,0.00190552,0.003734794
33,Northern,"(30,60]",0.865645483,0.623837789,0.001147338,0.002248751
33,Northern,"(60,90]",0.941085399,0.626086355,0.006808102,0.013345546
33,Southern,"(0,30]",1.000516872,0.678462914,0.003020077,0.005919385
33,Southern,"(30,60]",1.115915403,0.666684968,0.005823742,0.01141538
34,Northern,"(0,30]",0.888205552,0.611013654,0.001870468,0.003666092
34,Northern,"(30,60]",0.860546007,0.622678052,0.001136992,0.002228471
34,Northern,"(60,90]",0.924209447,0.612455715,0.006607354,0.012952
34,Southern,"(0,30]",0.953457212,0.668890931,0.002952391,0.005786717
34,Southern,"(30,60]",1.107261759,0.675361778,0.005865619,0.011497452
35,Northern,"(0,30]",0.878666557,0.611499981,0.001853924,0.003633665
35,Northern,"(30,60]",0.850321194,0.619200961,0.001114161,0.002183724
35,Northern,"(60,90]",0.928514468,0.594217709,0.006345207,0.012438094
35,Southern,"(0,30]",0.953129874,0.672423479,0.002934781,0.005752197
35,Southern,"(30,60]",1.110149343,0.666401137,0.005747401,0.011265713
36,Northern,"(0,30]",0.859553284,0.608485607,0.001825335,0.003577629
36,Northern,"(30,60]",0.841896351,0.615949666,0.001092833,0.002141921
36,Northern,"(60,90]",0.900757225,0.59766315,0.006326692,0.012401771
36,Southern,"(0,30]",0.944086703,0.673555922,0.002922598,0.005728318
36,Southern,"(30,60]",1.092061772,0.649729379,0.005546359,0.010871623
37,Northern,"(0,30]",0.866755562,0.601333698,0.001798129,0.003524306
37,Northern,"(30,60]",0.83574438,0.620070319,0.001091808,0.002139913
37,Northern,"(60,90]",0.891608302,0.615856907,0.006475175,0.012692809
37,Southern,"(0,30]",0.95543994,0.668580224,0.002890524,0.005665452
37,Southern,"(30,60]",1.075728605,0.66817188,0.005650515,0.011075764
38,Northern,"(0,30]",0.868978671,0.60798706,0.001805659,0.003539064
38,Northern,"(30,60]",0.82542681,0.620523724,0.001083951,0.002124512
38,Northern,"(60,90]",0.886372182,0.603500626,0.006314966,0.012378746
38,Southern,"(0,30]",0.948061452,0.669797055,0.00287456,0.005634159
38,Southern,"(30,60]",1.084851203,0.651441116,0.005444009,0.010670963
39,Northern,"(0,30]",0.866202741,0.611965006,0.001810215,0.003547993
39,Northern,"(30,60]",0.812790109,0.620503281,0.001074294,0.002105586
39,Northern,"(60,90]",0.870555235,0.61227304,0.006403955,0.012553184
39,Southern,"(0,30]",0.958361197,0.636224244,0.00267029,0.005233784
39,Southern,"(30,60]",1.076234857,0.640771331,0.005243073,0.010277067
40,Northern,"(0,30]",0.863616671,0.611788067,0.001799844,0.003527666
40,Northern,"(30,60]",0.805602864,0.622396243,0.001070556,0.002098258
40,Northern,"(60,90]",0.872576992,0.610753738,0.006369972,0.012486559
40,Southern,"(0,30]",0.936872985,0.653601356,0.002634076,0.005162796
40,Southern,"(30,60]",1.051500389,0.639408474,0.005190045,0.010173112
41,Northern,"(0,30]",0.866267167,0.607079239,0.001781502,0.003491716
41,Northern,"(30,60]",0.795899549,0.623601675,0.001064834,0.002087043
41,Northern,"(60,90]",0.856212326,0.608629361,0.00634747,0.012442451
41,Southern,"(0,30]",0.94243688,0.636982781,0.002468759,0.004838766
41,Southern,"(30,60]",1.044280819,0.624713186,0.00502886,0.009857158
42,Northern,"(0,30]",0.865012873,0.609018204,0.001776454,0.003481822
42,Northern,"(30,60]",0.794076645,0.623156963,0.001054975,0.002067719
42,Northern,"(60,90]",0.849205272,0.619009424,0.006403698,0.012552644
42,Southern,"(0,30]",0.940192827,0.632773862,0.002423994,0.004751025
42,Southern,"(30,60]",1.043722707,0.632451977,0.005064967,0.009927924
43,Northern,"(0,30]",0.870464928,0.609115157,0.001765863,0.003461063
43,Northern,"(30,60]",0.794843272,0.626075298,0.001053044,0.002063936
43,Northern,"(60,90]",0.85155663,0.617898608,0.006367044,0.012480782
43,Southern,"(0,30]",0.953673813,0.630116282,0.002377087,0.004659084
43,Southern,"(30,60]",1.050096588,0.632102952,0.005023339,0.009846316
44,Northern,"(0,30]",0.875148816,0.607681375,0.001755454,0.003440662
44,Northern,"(30,60]",0.794647288,0.630492679,0.001053304,0.002064444
44,Northern,"(60,90]",0.848582939,0.627457743,0.006423397,0.012591224
44,Southern,"(0,30]",0.94075975,0.632043087,0.002373805,0.004652651
44,Southern,"(30,60]",1.047714757,0.638176969,0.005056146,0.009910617
45,Northern,"(0,30]",0.879016127,0.60835717,0.001747705,0.003425474
45,Northern,"(30,60]",0.791453551,0.628934834,0.001042952,0.002044156
45,Northern,"(60,90]",0.830979691,0.638796097,0.006549774,0.012838956
45,Southern,"(0,30]",0.927139948,0.641523363,0.002376143,0.004657232
45,Southern,"(30,60]",1.038484609,0.628558837,0.004928699,0.009660791
46,Northern,"(0,30]",0.866066987,0.610845535,0.001750295,0.00343055
46,Northern,"(30,60]",0.773151666,0.636337722,0.001046792,0.002051682
46,Northern,"(60,90]",0.798539852,0.63383981,0.006492475,0.012726633
46,Southern,"(0,30]",0.935631814,0.632845976,0.002317931,0.004543134
46,Southern,"(30,60]",1.05234028,0.621943593,0.004827364,0.009462149
47,Northern,"(0,30]",0.867938606,0.606583914,0.00172341,0.003377854
47,Northern,"(30,60]",0.773312265,0.629388283,0.001025193,0.002009348
47,Northern,"(60,90]",0.805833476,0.62762797,0.006358192,0.012463376
47,Southern,"(0,30]",0.939265176,0.628158731,0.002276984,0.004462877
47,Southern,"(30,60]",1.049367863,0.619545758,0.004785885,0.009380841
48,Northern,"(0,30]",0.86724953,0.603966789,0.001699637,0.003331259
48,Northern,"(30,60]",0.769213769,0.630015584,0.001020578,0.002000302
48,Northern,"(60,90]",0.770026126,0.642208969,0.006507575,0.012756198
48,Southern,"(0,30]",0.939581373,0.624071854,0.00221539,0.004342151
